# Poisson-Nernst-Planck system, generated on jotelha-fujitsu-ubuntu-20, 2021-02-03 09:59:33
# All quantities in SI units.
# grid x (m), potential u (V), concentration c (mM)
# x                    u                      c00                    c01                   
 1.720000000000000e-08 -5.182008445480372e-07  9.997310353615774e+02  9.996907084628624e+02
 1.730000000000000e-08 -7.190986155408071e-07  9.997388525807396e+02  9.996828916201526e+02
 1.740000000000000e-08 -9.978810809033109e-07  9.997497005058481e+02  9.996720444199643e+02
 1.750000000000000e-08 -1.384742829602861e-06  9.997647541844775e+02  9.996569921372873e+02
 1.760000000000000e-08 -1.921584386052077e-06  9.997856442972026e+02  9.996361047126974e+02
 1.770000000000000e-08 -2.666550404876386e-06  9.998146338792012e+02  9.996071203071449e+02
 1.780000000000000e-08 -3.700327247708766e-06  9.998548636282231e+02  9.995669005262216e+02
 1.790000000000000e-08 -5.134882025017462e-06  9.999106924575847e+02  9.995110908920766e+02
 1.800000000000000e-08 -7.125589618319089e-06  9.999881703517118e+02  9.994336499614991e+02
 1.810000000000000e-08 -9.888061146797575e-06  1.000095695071231e+03  9.993261964213845e+02
 1.820000000000000e-08 -1.372149655177758e-05  1.000244924475225e+03  9.991771040850591e+02
 1.830000000000000e-08 -1.904109059634678e-05  1.000452044507684e+03  9.989702479989875e+02
 1.840000000000000e-08 -2.642300215405531e-05  1.000739532561346e+03  9.986832682176185e+02
 1.850000000000000e-08 -3.666675740793950e-05  1.001138611793335e+03  9.982851677478291e+02
 1.860000000000000e-08 -5.088184591434441e-05  1.001692671062517e+03  9.977329932471504e+02
 1.870000000000000e-08 -7.060788901992424e-05  1.002462037969041e+03  9.969672557753304e+02
 1.880000000000000e-08 -9.798139692671990e-05  1.003530654930114e+03  9.959056278978754e+02
 1.890000000000000e-08 -1.359671783323763e-04  1.005015445126564e+03  9.944342963675373e+02
 1.900000000000000e-08 -1.886794734834194e-04  1.007079506216775e+03  9.923961522833491e+02
 1.910000000000000e-08 -2.618276112560231e-04  1.009950800500029e+03  9.895747659372385e+02
 1.920000000000000e-08 -3.633345098395195e-04  1.013948832511462e+03  9.856728416338931e+02
 1.930000000000000e-08 -5.041951463669158e-04  1.019523115929861e+03  9.802836359442468e+02
 1.940000000000000e-08 -6.996683395161448e-04  1.027309390598395e+03  9.728537830562874e+02
 1.950000000000000e-08 -9.709318990470167e-04  1.038213235879190e+03  9.626363761067161e+02
 1.960000000000000e-08 -1.347383011568603e-03  1.053537266071198e+03  9.486345278884047e+02
 1.970000000000000e-08 -1.869839971990266e-03  1.075180187217788e+03  9.295389171899545e+02
 1.980000000000000e-08 -2.595010649772211e-03  1.105959375486885e+03  9.036695643218616e+02
 1.990000000000000e-08 -3.601761514773109e-03  1.150156098942605e+03  8.689445092697829e+02
 2.000000000000000e-08 -5.000000000000000e-03  1.214484312478631e+03  8.229186796557350e+02
